t;T;T
[s];[°C];[°C]

875,0;162,1;162,1
876,0;161,7;161,7
877,0;161,7;161,7
878,0;161,7;161,7
879,0;161,7;161,7
880,0;161,7;161,7
881,0;161,7;161,7
882,0;161,4;161,4
883,0;161,4;161,4
884,0;161,4;161,4
885,0;161,4;161,4
886,0;161,4;161,4
887,0;161,4;161,4
888,0;161,0;161,0
889,0;161,0;161,0
890,0;160,6;160,6
891,0;160,6;160,6
892,0;160,6;160,6
893,0;160,6;160,6
894,0;160,3;160,3
895,0;160,3;160,3
896,0;160,3;160,3
897,0;160,3;160,3
898,0;160,3;160,3
899,0;160,3;160,3
900,0;159,9;159,9
901,0;159,9;159,9
902,0;159,9;159,9
903,0;159,9;159,9
904,0;160,0;160,0
905,0;160,0;160,0
906,0;159,6;159,6
907,0;159,6;159,6
908,0;158,9;158,9
909,0;158,9;158,9
910,0;158,8;158,8
911,0;158,8;158,8
912,0;158,9;158,9
913,0;158,9;158,9
914,0;158,5;158,5
915,0;158,5;158,5
916,0;158,5;158,5
917,0;158,5;158,5
918,0;158,2;158,2
919,0;158,2;158,2
920,0;158,2;158,2
921,0;158,2;158,2
922,0;158,1;158,1
923,0;158,1;158,1
924,0;157,8;157,8
925,0;157,8;157,8
926,0;157,8;157,8
927,0;157,8;157,8
928,0;157,4;157,4
929,0;157,4;157,4
930,0;157,1;157,1
931,0;157,1;157,1
932,0;157,1;157,1
933,0;157,1;157,1
934,0;156,7;156,7
935,0;156,7;156,7
936,0;156,3;156,3
937,0;156,3;156,3
938,0;156,3;156,3
939,0;156,3;156,3
940,0;156,4;156,4
941,0;156,4;156,4
942,0;156,0;156,0
943,0;156,0;156,0
944,0;156,0;156,0
945,0;156,0;156,0
946,0;155,6;155,6
947,0;155,6;155,6
948,0;155,3;155,3
949,0;155,3;155,3
950,0;155,3;155,3
951,0;155,3;155,3
952,0;155,3;155,3
953,0;155,3;155,3
954,0;154,9;154,9
955,0;154,9;154,9
956,0;154,9;154,9
957,0;154,9;154,9
958,0;154,9;154,9
959,0;154,9;154,9
960,0;154,6;154,6
961,0;154,6;154,6
962,0;154,2;154,2
963,0;154,2;154,2
964,0;154,2;154,2
965,0;154,2;154,2
966,0;153,9;153,9
967,0;153,9;153,9
968,0;153,5;153,5
969,0;153,5;153,5
970,0;153,5;153,5
971,0;153,5;153,5
972,0;153,1;153,1
973,0;153,1;153,1
974,0;153,1;153,1
975,0;153,1;153,1
976,0;153,1;153,1
977,0;153,1;153,1
978,0;152,8;152,8
979,0;152,8;152,8
980,0;152,8;152,8
981,0;152,8;152,8
982,0;152,4;152,4
983,0;152,4;152,4
984,0;152,0;152,0
985,0;152,0;152,0
986,0;152,1;152,1
987,0;152,1;152,1
988,0;151,7;151,7
989,0;151,7;151,7
990,0;151,3;151,3
991,0;151,3;151,3
992,0;151,0;151,0
993,0;151,0;151,0
994,0;151,7;151,7
995,0;151,7;151,7
996,0;151,0;151,0
997,0;151,0;151,0
998,0;151,0;151,0
999,0;151,0;151,0
1000,0;150,6;150,6
1001,0;150,6;150,6
1002,0;150,6;150,6
1003,0;150,6;150,6
1004,0;150,6;150,6
1005,0;150,6;150,6
1006,0;150,6;150,6
1007,0;150,6;150,6
1008,0;149,9;149,9
1009,0;149,9;149,9
1010,0;149,9;149,9
1011,0;149,9;149,9
1012,0;149,6;149,6
1013,0;149,6;149,6
1014,0;149,2;149,2
1015,0;149,2;149,2
1016,0;149,2;149,2
1017,0;149,2;149,2
1018,0;149,2;149,2
1019,0;149,2;149,2
1020,0;148,8;148,8
1021,0;148,8;148,8
1022,0;149,2;149,2
1023,0;149,2;149,2
1024,0;148,8;148,8
1025,0;148,8;148,8
1026,0;148,1;148,1
1027,0;148,1;148,1
1028,0;148,1;148,1
1029,0;148,1;148,1
1030,0;147,7;147,7
1031,0;147,7;147,7
1032,0;147,4;147,4
1033,0;147,4;147,4
1034,0;147,4;147,4
1035,0;147,4;147,4
1036,0;147,4;147,4
1037,0;147,4;147,4
1038,0;147,4;147,4
1039,0;147,4;147,4
1040,0;147,4;147,4
1041,0;147,4;147,4
1042,0;147,4;147,4
1043,0;147,4;147,4
1044,0;147,1;147,1
1045,0;147,1;147,1
1046,0;147,1;147,1
1047,0;147,1;147,1
1048,0;147,1;147,1
1049,0;147,1;147,1
1050,0;146,3;146,3
1051,0;146,3;146,3
1052,0;146,3;146,3
1053,0;146,3;146,3
1054,0;146,0;146,0
1055,0;146,0;146,0
1056,0;146,0;146,0
1057,0;146,0;146,0
1058,0;145,6;145,6
1059,0;145,6;145,6
1060,0;145,6;145,6
1061,0;145,6;145,6
1062,0;145,2;145,2
1063,0;145,2;145,2
1064,0;145,6;145,6
1065,0;145,6;145,6
1066,0;145,3;145,3
1067,0;145,3;145,3
