t;T;T
[s];[°C];[°C]
;;
1137;134,9;134,9
1138;134,2;134,2
1139;134,2;134,2
1140;134,2;134,2
1141;134,2;134,2
1142;134,2;134,2
1143;134,2;134,2
1144;134,2;134,2
1145;134,2;134,2
1146;134,2;134,2
1147;134,2;134,2
1148;134,2;134,2
1149;134,2;134,2
1150;133,5;133,5
1151;133,5;133,5
1152;133,5;133,5
1153;133,5;133,5
1154;133,5;133,5
1155;133,5;133,5
1156;133,5;133,5
1157;133,5;133,5
1158;133,5;133,5
1159;133,5;133,5
1160;133,5;133,5
1161;133,5;133,5
1162;133,5;133,5
1163;133,5;133,5
1164;133,5;133,5
1165;133,5;133,5
1166;133,5;133,5
1167;133,5;133,5
1168;133,1;133,1
1169;133,1;133,1
1170;132,8;132,8
1171;132,8;132,8
1172;132,4;132,4
1173;132,4;132,4
1174;132;132
1175;132;132
1176;132,1;132,1
1177;132,1;132,1
1178;132,1;132,1
1179;132,1;132,1
1180;132,1;132,1
1181;132,1;132,1
1182;131,7;131,7
1183;131,7;131,7
1184;131,7;131,7
1185;131,7;131,7
1186;131,4;131,4
1187;131,4;131,4
1188;131,4;131,4
1189;131,4;131,4
1190;130,7;130,7
1191;130,7;130,7
1192;130,7;130,7
1193;130,7;130,7
1194;130,7;130,7
1195;130,7;130,7
1196;130,7;130,7
1197;130,7;130,7
1198;130,3;130,3
1199;130,3;130,3
1200;130,3;130,3
1201;130,3;130,3
1202;129,9;129,9
1203;129,9;129,9
1204;129,9;129,9
1205;129,9;129,9
1206;129,9;129,9
1207;129,9;129,9
1208;129,9;129,9
1209;129,9;129,9
1210;129,6;129,6
1211;129,6;129,6
1212;129,2;129,2
1213;129,2;129,2
1214;129,6;129,6
1215;129,6;129,6
1216;128,9;128,9
1217;128,9;128,9
1218;129,2;129,2
1219;129,2;129,2
1220;128,9;128,9
1221;128,9;128,9
1222;128,5;128,5
1223;128,5;128,5
1224;128,1;128,1
1225;128,1;128,1
1226;128,2;128,2
1227;128,2;128,2
1228;128,2;128,2
1229;128,2;128,2
1230;128,2;128,2
1231;128,2;128,2
1232;128,2;128,2
1233;128,2;128,2
1234;127,5;127,5
1235;127,5;127,5
1236;127,8;127,8
1237;127,8;127,8
1238;127,5;127,5
1239;127,5;127,5
1240;127,1;127,1
1241;127,1;127,1
1242;127,1;127,1
1243;127,1;127,1
1244;127,1;127,1
1245;127,1;127,1
1246;126,8;126,8
1247;126,8;126,8
1248;126,8;126,8
1249;126,8;126,8
1250;126,4;126,4
1251;126,4;126,4
1252;126,4;126,4
1253;126,4;126,4
1254;126;126
1255;126;126
1256;126,4;126,4
1257;126,4;126,4
1258;125,7;125,7
1259;125,7;125,7
1260;126;126
1261;126;126
1262;125,3;125,3
1263;125,3;125,3
1264;125,3;125,3
1265;125,3;125,3
1266;125,7;125,7
1267;125,7;125,7
1268;125,3;125,3
1269;125,3;125,3
1270;125;125
1271;125;125
1272;125;125
1273;125;125
1274;125;125
1275;125;125
1276;124,6;124,6
1277;124,6;124,6
1278;124,3;124,3
1279;124,3;124,3
1280;124,6;124,6
1281;124,6;124,6
1282;124,3;124,3
1283;124,3;124,3
1284;124,3;124,3
1285;124,3;124,3
1286;123,6;123,6
1287;123,6;123,6
1288;123,6;123,6
1289;123,6;123,6
1290;123,6;123,6
1291;123,6;123,6
1292;123,9;123,9
1293;123,9;123,9
1294;123,6;123,6
1295;123,6;123,6
1296;122,9;122,9
1297;122,9;122,9
1298;123,2;123,2
1299;123,2;123,2
1300;122,9;122,9
1301;122,9;122,9
1302;122,9;122,9
1303;122,9;122,9
1304;122,9;122,9
1305;122,9;122,9
1306;122,9;122,9
1307;122,9;122,9
1308;122,5;122,5
1309;122,5;122,5
1310;122,5;122,5
1311;122,5;122,5
1312;122,5;122,5
1313;122,5;122,5
1314;122,2;122,2
1315;122,2;122,2
1316;122,5;122,5
1317;122,5;122,5
1318;121,8;121,8
1319;121,8;121,8
1320;121,5;121,5
1321;121,5;121,5
1322;121,1;121,1
1323;121,1;121,1
1324;121,5;121,5
1325;121,5;121,5
1326;121,1;121,1
1327;121,1;121,1
1328;121,1;121,1
1329;121,1;121,1
1330;121,1;121,1
1331;121,1;121,1
1332;121,1;121,1
1333;121,1;121,1
1334;121,1;121,1
1335;121,1;121,1
1336;121,1;121,1
1337;121,1;121,1
1338;121,1;121,1
1339;121,1;121,1
1340;120,4;120,4
1341;120,4;120,4
1342;120;120
1343;120;120
1344;120;120
1345;120;120
1346;120;120
1347;120;120
1348;119,7;119,7
1349;119,7;119,7
1350;120;120
1351;120;120
1352;120;120
1353;120;120
1354;119,3;119,3
1355;119,3;119,3
1356;119,3;119,3
1357;119,3;119,3
1358;119,3;119,3
1359;119,3;119,3
1360;119,3;119,3
1361;119,3;119,3
1362;119;119
1363;119;119
1364;119;119
1365;119;119
1366;119;119
1367;119;119
1368;119,3;119,3
1369;119,3;119,3
1370;119,3;119,3
1371;119,3;119,3
1372;118,3;118,3
1373;118,3;118,3
1374;118,3;118,3
1375;118,3;118,3
1376;118,3;118,3
1377;118,3;118,3
1378;117,9;117,9
1379;117,9;117,9
1380;117,9;117,9
1381;117,9;117,9
1382;117,6;117,6
1383;117,6;117,6
1384;117,6;117,6
1385;117,6;117,6
1386;117,2;117,2
1387;117,2;117,2
1388;117,6;117,6
1389;117,6;117,6
1390;117,2;117,2
1391;117,2;117,2
1392;117,2;117,2
1393;117,2;117,2
1394;117,2;117,2
1395;117,2;117,2
1396;116,5;116,5
1397;116,5;116,5
1398;117,2;117,2
1399;117,2;117,2
1400;116,5;116,5
1401;116,5;116,5
1402;116,5;116,5
1403;116,5;116,5
1404;116,2;116,2
